geometry,population,h3_index,count_cafe,count_university,count_restaurant,count_tourism,count_sport,count_office,count_fastfood,count_transport,count_entertainment,count_bar_pub,count_market,count_mall,population_neigh,count_cafe_neigh,count_university_neigh,count_restaurant_neigh,count_tourism_neigh,count_sport_neigh,count_office_neigh,count_fastfood_neigh,count_transport_neigh,count_entertainment_neigh,count_bar_pub_neigh,count_market_neigh,count_mall_neigh
"POLYGON ((30.70070701028433 46.34298102847509, 30.7006422 46.3429319, 30.7005563 46.3428717, 30.7004611 46.3427912, 30.700386 46.3427181, 30.7002988 46.3426736, 30.7002197 46.3426662, 30.7001393 46.3426782, 30.7000266 46.3426968, 30.6998911 46.3427032, 30.699804 46.3426847, 30.6996819 46.3426931, 30.69958 46.342731, 30.6994405 46.3427662, 30.6992662 46.3428133, 30.6992134 46.3427784, 30.6987155 46.3429049, 30.698712641898393 46.34291306108531, 30.70070701028433 46.34298102847509))",1.0,881e5d502dfffff,0,0,0,0,0,0,0,0,0,0,0,0,944.0,3,0,0,0,0,0,0,0,0,0,0,0
"POLYGON ((30.694346293597036 46.346876203664, 30.69825176625456 46.34310669634447, 30.6977148 46.3433576, 30.6946351 46.3431607, 30.692127 46.3429791, 30.6914445 46.3429403, 30.6916336 46.3454578, 30.691703287837655 46.34678589593058, 30.694346293597036 46.346876203664))",608.0,881e5d515bfffff,0,0,0,0,0,0,0,0,0,0,0,0,960.0,3,0,0,0,0,0,0,0,0,0,0,0
"POLYGON ((30.694346293597036 46.346876203664, 30.697354629420406 46.351090789504376, 30.70447828887922 46.35133349469172, 30.705902267586318 46.34995891114522, 30.7057306 46.3497967, 30.7053575 46.3496141, 30.7050182 46.3495076, 30.7044646 46.3491918, 30.7039673 46.3488582, 30.7035524 46.3485791, 30.7034478 46.3484393, 30.7033807 46.3483051, 30.7032999 46.3481228, 30.7026002 46.3474164, 30.7026646 46.3473423, 30.7023561 46.3470369, 30.7020235 46.3468295, 30.7017204 46.3465425, 30.701471 46.346237, 30.7012913 46.3458648, 30.701251 46.3455871, 30.7012738 46.3454797, 30.7013422 46.3453853, 30.7016051 46.3453047, 30.7020369 46.345165, 30.7024004 46.345064, 30.7025358 46.3450011, 30.7026176 46.3449409, 30.7026833 46.344865, 30.7028577 46.3446197, 30.7028899 46.3445604, 30.702906 46.3444854, 30.7029288 46.3443965, 30.7029583 46.3443225, 30.7029462 46.3442743, 30.7028952 46.3442049, 30.7028496 46.3441142, 30.7028295 46.3440716, 30.7028241 46.3440272, 30.7028322 46.3439809, 30.7028054 46.3439244, 30.7027598 46.3438818, 30.7026672 46.343804, 30.7025667 46.3437179, 30.7024768 46.3436207, 30.7024111 46.343567, 30.7023749 46.3435207, 30.7023507 46.3434707, 30.7023534 46.3433985, 30.7023427 46.3433458, 30.7022689 46.3432819, 30.7021616 46.3432374, 30.7020409 46.3432365, 30.7019658 46.3432661, 30.7019243 46.3433097, 30.701931 46.3433578, 30.7015125 46.3435763, 30.7014676 46.343543, 30.7014274 46.3434999, 30.7013154 46.3434245, 30.701125 46.3432837, 30.700964 46.3431643, 30.7008071 46.3430569, 30.70070701028433 46.34298102847509, 30.698712641898393 46.34291306108531, 30.6986989 46.3429523, 30.6984433 46.3430172, 30.69825176625456 46.34310669634447, 30.694346293597036 46.346876203664))",336.0,881e5d5067fffff,3,0,0,0,0,0,0,0,0,0,0,0,2093.0,0,0,0,0,0,0,0,0,0,0,0,0
"POLYGON ((30.6932391662368 46.35506214852606, 30.697354629420406 46.351090789504376, 30.694346293597036 46.346876203664, 30.691703287837655 46.34678589593058, 30.6918378 46.3493494, 30.69185 46.3495481, 30.6910185 46.3495146, 30.689991582208265 46.35495121357726, 30.6932391662368 46.35506214852606))",623.0,881e5d5065fffff,0,0,0,0,0,0,0,0,0,0,0,0,2094.0,3,0,0,0,0,0,0,0,0,0,0,0
"POLYGON ((30.70447828887922 46.35133349469172, 30.707487242359626 46.35554751805513, 30.711358559488474 46.35567903450892, 30.7112902 46.3556198, 30.711031 46.3553942, 30.7104822 46.3549078, 30.7100036 46.354503, 30.7095179 46.3540324, 30.7088875 46.3533185, 30.7086516 46.352951, 30.7083602 46.3525152, 30.7081296 46.3521949, 30.7079338 46.3518423, 30.7073928 46.3514099, 30.7061445 46.3501878, 30.705902267586318 46.34995891114522, 30.70447828887922 46.35133349469172))",74.0,881e5d5063fffff,0,0,0,0,0,0,0,0,0,0,0,0,1706.0,3,0,0,0,0,0,0,0,1,0,0,0
"POLYGON ((30.70337218108154 46.359519007353654, 30.707487242359626 46.35554751805513, 30.70447828887922 46.35133349469172, 30.697354629420406 46.351090789504376, 30.6932391662368 46.35506214852606, 30.694332197514107 46.35659317601588, 30.6944612 46.3566118, 30.6954307 46.3566224, 30.695845 46.355604, 30.6968408 46.3559465, 30.6971277 46.3560969, 30.6975517 46.3563026, 30.6978451 46.3564165, 30.6980096 46.3564791, 30.69832 46.3565222, 30.698354 46.3566, 30.6983993 46.3580876, 30.69914 46.3581412, 30.7001116 46.358158, 30.7000994 46.3583376, 30.7009694 46.358419, 30.7009979 46.3593289, 30.701251 46.3593553, 30.70125914787193 46.359447035452206, 30.70337218108154 46.359519007353654))",787.0,881e5d5061fffff,0,0,0,0,0,0,0,0,0,0,0,0,2445.0,3,0,0,0,0,0,0,0,1,0,0,0
"POLYGON ((30.6932391662368 46.35506214852606, 30.689991582208265 46.35495121357726, 30.6898135 46.355894, 30.6898695 46.3559489, 30.694332197514107 46.35659317601588, 30.6932391662368 46.35506214852606))",363.0,881e5d506dfffff,0,0,0,0,0,0,0,0,0,0,0,0,1876.0,0,0,0,0,0,0,0,0,0,0,0,0
"POLYGON ((30.707487242359626 46.35554751805513, 30.70337218108154 46.359519007353654, 30.706381396971945 46.36373263926919, 30.706755860243888 46.36374535703723, 30.7068405 46.3579988, 30.7134227 46.362966, 30.71404503794203 46.36345433993346, 30.71739975698645 46.360216242317435, 30.7153249 46.3589074, 30.7137348 46.3577273, 30.7125267 46.3566603, 30.7119697 46.3562129, 30.7115097 46.35581, 30.711358559488474 46.35567903450892, 30.707487242359626 46.35554751805513))",583.0,881e5d506bfffff,0,0,0,0,0,0,0,0,1,0,0,0,1975.0,0,0,0,0,0,0,0,0,0,0,0,0
"POLYGON ((30.706381396971945 46.36373263926919, 30.70337218108154 46.359519007353654, 30.70125914787193 46.359447035452206, 30.7012595 46.359451, 30.7020664 46.3595071, 30.7019863 46.360186, 30.7019149 46.3640753, 30.705645718223224 46.36444250256394, 30.706381396971945 46.36373263926919))",466.0,881e5d5069fffff,0,0,0,0,0,0,0,0,0,0,0,0,2177.0,0,0,0,0,0,0,0,0,1,0,0,0
"POLYGON ((30.716515862980597 46.36818767993463, 30.723640710612944 46.368428958423685, 30.72646005856127 46.36570726511656, 30.7261155 46.3655092, 30.7257103 46.3652638, 30.7254148 46.3650537, 30.7251422 46.3648156, 30.7250361 46.3647677, 30.7248308 46.3646312, 30.724583 46.3644945, 30.7240607 46.3642721, 30.7230883 46.363777, 30.7216121 46.3628782, 30.7201606 46.3619578, 30.7175793 46.3603295, 30.71739975698645 46.360216242317435, 30.71404503794203 46.36345433993346, 30.7142494 46.3636147, 30.7160235 46.3650067, 30.7160296 46.365166, 30.7160856 46.3666227, 30.715159889906282 46.3662896320102, 30.716515862980597 46.36818767993463))",204.0,881e5d5047fffff,0,0,0,0,0,0,0,0,0,0,0,0,3793.0,2,0,0,3,0,1,0,0,1,0,0,1
"MULTIPOLYGON (((30.706381396971945 46.36373263926919, 30.705645718223224 46.36444250256394, 30.706744 46.3645506, 30.706755860243888 46.36374535703723, 30.706381396971945 46.36373263926919)), ((30.716515862980597 46.36818767993463, 30.715159889906282 46.3662896320102, 30.7146056 46.3660902, 30.7142686 46.3660831, 30.7139649 46.3663116, 30.71392425090747 46.37068867710797, 30.716515862980597 46.36818767993463)))",444.0,881e5d5045fffff,0,0,0,0,0,0,0,0,0,0,0,0,2193.0,1,0,0,2,0,0,0,0,1,0,0,0
